iteration,group1,group2,status
10,"['ADBE', 'AMZN', 'BAC', 'CSCO', 'HD', 'JNJ', 'KO', 'MA', 'MRK', 'NFLX', 'T', 'VZ', 'WMT', 'XOM']","['AAPL', 'ABT', 'BRK-B', 'DIS', 'GOOGL', 'INTC', 'JPM', 'MSFT', 'NVDA', 'PEP', 'PFE', 'PG', 'UNH', 'V']",completed
11,"['DIS', 'GOOGL', 'HD', 'INTC', 'JNJ', 'JPM', 'MRK', 'MSFT', 'NFLX', 'NVDA', 'PEP', 'T', 'UNH', 'XOM']","['AAPL', 'ABT', 'ADBE', 'AMZN', 'BAC', 'BRK-B', 'CSCO', 'KO', 'MA', 'PFE', 'PG', 'V', 'VZ', 'WMT']",completed
12,"['AAPL', 'ABT', 'ADBE', 'CSCO', 'INTC', 'JNJ', 'JPM', 'KO', 'MRK', 'MSFT', 'T', 'UNH', 'VZ', 'WMT']","['AMZN', 'BAC', 'BRK-B', 'DIS', 'GOOGL', 'HD', 'MA', 'NFLX', 'NVDA', 'PEP', 'PFE', 'PG', 'V', 'XOM']",completed
13,"['ADBE', 'AMZN', 'BRK-B', 'CSCO', 'GOOGL', 'INTC', 'JNJ', 'KO', 'MRK', 'NFLX', 'NVDA', 'PG', 'T', 'WMT']","['AAPL', 'ABT', 'BAC', 'DIS', 'HD', 'JPM', 'MA', 'MSFT', 'PEP', 'PFE', 'UNH', 'V', 'VZ', 'XOM']",completed
14,"['AAPL', 'ADBE', 'AMZN', 'BAC', 'DIS', 'HD', 'JNJ', 'KO', 'MA', 'MRK', 'MSFT', 'NFLX', 'UNH', 'V']","['ABT', 'BRK-B', 'CSCO', 'GOOGL', 'INTC', 'JPM', 'NVDA', 'PEP', 'PFE', 'PG', 'T', 'VZ', 'WMT', 'XOM']",completed
15,"['AAPL', 'ADBE', 'CSCO', 'GOOGL', 'HD', 'JNJ', 'KO', 'MA', 'MRK', 'NFLX', 'PEP', 'T', 'WMT', 'XOM']","['ABT', 'AMZN', 'BAC', 'BRK-B', 'DIS', 'INTC', 'JPM', 'MSFT', 'NVDA', 'PFE', 'PG', 'UNH', 'V', 'VZ']",completed
16,"['ABT', 'ADBE', 'BAC', 'CSCO', 'DIS', 'GOOGL', 'JPM', 'MSFT', 'NFLX', 'PEP', 'V', 'VZ', 'WMT', 'XOM']","['AAPL', 'AMZN', 'BRK-B', 'HD', 'INTC', 'JNJ', 'KO', 'MA', 'MRK', 'NVDA', 'PFE', 'PG', 'T', 'UNH']",completed
17,"['AAPL', 'ADBE', 'AMZN', 'BAC', 'CSCO', 'HD', 'KO', 'MRK', 'NFLX', 'PEP', 'PG', 'T', 'UNH', 'XOM']","['ABT', 'BRK-B', 'DIS', 'GOOGL', 'INTC', 'JNJ', 'JPM', 'MA', 'MSFT', 'NVDA', 'PFE', 'V', 'VZ', 'WMT']",completed
18,"['AAPL', 'ADBE', 'BRK-B', 'GOOGL', 'HD', 'JNJ', 'KO', 'MRK', 'NFLX', 'PG', 'UNH', 'V', 'VZ', 'XOM']","['ABT', 'AMZN', 'BAC', 'CSCO', 'DIS', 'INTC', 'JPM', 'MA', 'MSFT', 'NVDA', 'PEP', 'PFE', 'T', 'WMT']",completed
19,"['AAPL', 'ABT', 'ADBE', 'AMZN', 'BRK-B', 'DIS', 'GOOGL', 'INTC', 'KO', 'MA', 'MSFT', 'PEP', 'T', 'VZ']","['BAC', 'CSCO', 'HD', 'JNJ', 'JPM', 'MRK', 'NFLX', 'NVDA', 'PFE', 'PG', 'UNH', 'V', 'WMT', 'XOM']",completed
20,"['BAC', 'BRK-B', 'CSCO', 'DIS', 'GOOGL', 'HD', 'JPM', 'KO', 'MA', 'NFLX', 'PFE', 'T', 'V', 'WMT']","['AAPL', 'ABT', 'ADBE', 'AMZN', 'INTC', 'JNJ', 'MRK', 'MSFT', 'NVDA', 'PEP', 'PG', 'UNH', 'VZ', 'XOM']",completed
21,"['AAPL', 'ADBE', 'BRK-B', 'CSCO', 'DIS', 'JNJ', 'JPM', 'MA', 'NFLX', 'T', 'UNH', 'V', 'VZ', 'XOM']","['ABT', 'AMZN', 'BAC', 'GOOGL', 'HD', 'INTC', 'KO', 'MRK', 'MSFT', 'NVDA', 'PEP', 'PFE', 'PG', 'WMT']",completed
22,"['ABT', 'AMZN', 'BAC', 'DIS', 'GOOGL', 'HD', 'JNJ', 'JPM', 'NVDA', 'PFE', 'T', 'UNH', 'WMT', 'XOM']","['AAPL', 'ADBE', 'BRK-B', 'CSCO', 'INTC', 'KO', 'MA', 'MRK', 'MSFT', 'NFLX', 'PEP', 'PG', 'V', 'VZ']",completed
23,"['ABT', 'ADBE', 'AMZN', 'DIS', 'GOOGL', 'KO', 'NVDA', 'PEP', 'PG', 'T', 'UNH', 'VZ', 'WMT', 'XOM']","['AAPL', 'BAC', 'BRK-B', 'CSCO', 'HD', 'INTC', 'JNJ', 'JPM', 'MA', 'MRK', 'MSFT', 'NFLX', 'PFE', 'V']",completed
24,"['ABT', 'ADBE', 'BAC', 'DIS', 'GOOGL', 'JPM', 'KO', 'MA', 'NFLX', 'PEP', 'UNH', 'V', 'WMT', 'XOM']","['AAPL', 'AMZN', 'BRK-B', 'CSCO', 'HD', 'INTC', 'JNJ', 'MRK', 'MSFT', 'NVDA', 'PFE', 'PG', 'T', 'VZ']",completed
25,"['BRK-B', 'DIS', 'GOOGL', 'JNJ', 'MA', 'MRK', 'NFLX', 'NVDA', 'PEP', 'PFE', 'PG', 'V', 'VZ', 'XOM']","['AAPL', 'ABT', 'ADBE', 'AMZN', 'BAC', 'CSCO', 'HD', 'INTC', 'JPM', 'KO', 'MSFT', 'T', 'UNH', 'WMT']",completed
26,"['AAPL', 'ABT', 'CSCO', 'DIS', 'GOOGL', 'HD', 'JPM', 'KO', 'MA', 'NFLX', 'PFE', 'PG', 'V', 'VZ']","['ADBE', 'AMZN', 'BAC', 'BRK-B', 'INTC', 'JNJ', 'MRK', 'MSFT', 'NVDA', 'PEP', 'T', 'UNH', 'WMT', 'XOM']",completed
27,"['ABT', 'BAC', 'DIS', 'HD', 'JPM', 'KO', 'MA', 'MRK', 'PEP', 'PFE', 'PG', 'T', 'VZ', 'WMT']","['AAPL', 'ADBE', 'AMZN', 'BRK-B', 'CSCO', 'GOOGL', 'INTC', 'JNJ', 'MSFT', 'NFLX', 'NVDA', 'UNH', 'V', 'XOM']",completed
28,"['AAPL', 'ABT', 'HD', 'INTC', 'JNJ', 'MA', 'NVDA', 'PEP', 'PFE', 'PG', 'UNH', 'VZ', 'WMT', 'XOM']","['ADBE', 'AMZN', 'BAC', 'BRK-B', 'CSCO', 'DIS', 'GOOGL', 'JPM', 'KO', 'MRK', 'MSFT', 'NFLX', 'T', 'V']",completed
29,"['AAPL', 'ADBE', 'BRK-B', 'CSCO', 'DIS', 'HD', 'INTC', 'KO', 'MRK', 'NFLX', 'NVDA', 'PEP', 'V', 'VZ']","['ABT', 'AMZN', 'BAC', 'GOOGL', 'JNJ', 'JPM', 'MA', 'MSFT', 'PFE', 'PG', 'T', 'UNH', 'WMT', 'XOM']",completed
30,"['AAPL', 'ABT', 'AMZN', 'BRK-B', 'CSCO', 'DIS', 'INTC', 'JNJ', 'JPM', 'MA', 'NFLX', 'PEP', 'PFE', 'V']","['ADBE', 'BAC', 'GOOGL', 'HD', 'KO', 'MRK', 'MSFT', 'NVDA', 'PG', 'T', 'UNH', 'VZ', 'WMT', 'XOM']",training
31,"['AMZN', 'BAC', 'BRK-B', 'GOOGL', 'HD', 'INTC', 'JPM', 'KO', 'MRK', 'NFLX', 'NVDA', 'PEP', 'WMT', 'XOM']","['AAPL', 'ABT', 'ADBE', 'CSCO', 'DIS', 'JNJ', 'MA', 'MSFT', 'PFE', 'PG', 'T', 'UNH', 'V', 'VZ']",untrained
32,"['AAPL', 'ABT', 'BAC', 'HD', 'JNJ', 'JPM', 'KO', 'MSFT', 'NFLX', 'NVDA', 'PEP', 'PFE', 'V', 'VZ']","['ADBE', 'AMZN', 'BRK-B', 'CSCO', 'DIS', 'GOOGL', 'INTC', 'MA', 'MRK', 'PG', 'T', 'UNH', 'WMT', 'XOM']",untrained
33,"['ABT', 'AMZN', 'CSCO', 'HD', 'JPM', 'KO', 'MRK', 'MSFT', 'NFLX', 'NVDA', 'UNH', 'V', 'VZ', 'WMT']","['AAPL', 'ADBE', 'BAC', 'BRK-B', 'DIS', 'GOOGL', 'INTC', 'JNJ', 'MA', 'PEP', 'PFE', 'PG', 'T', 'XOM']",untrained
34,"['BAC', 'DIS', 'GOOGL', 'HD', 'JPM', 'MA', 'MRK', 'NFLX', 'NVDA', 'PEP', 'PFE', 'PG', 'UNH', 'WMT']","['AAPL', 'ABT', 'ADBE', 'AMZN', 'BRK-B', 'CSCO', 'INTC', 'JNJ', 'KO', 'MSFT', 'T', 'V', 'VZ', 'XOM']",untrained
35,"['ADBE', 'BRK-B', 'CSCO', 'HD', 'JNJ', 'JPM', 'KO', 'MA', 'MRK', 'MSFT', 'PG', 'T', 'WMT', 'XOM']","['AAPL', 'ABT', 'AMZN', 'BAC', 'DIS', 'GOOGL', 'INTC', 'NFLX', 'NVDA', 'PEP', 'PFE', 'UNH', 'V', 'VZ']",untrained
36,"['ADBE', 'BRK-B', 'GOOGL', 'HD', 'INTC', 'JNJ', 'JPM', 'KO', 'MRK', 'PEP', 'PFE', 'PG', 'T', 'UNH']","['AAPL', 'ABT', 'AMZN', 'BAC', 'CSCO', 'DIS', 'MA', 'MSFT', 'NFLX', 'NVDA', 'V', 'VZ', 'WMT', 'XOM']",untrained
37,"['AAPL', 'ABT', 'BAC', 'CSCO', 'DIS', 'HD', 'JNJ', 'KO', 'MSFT', 'NVDA', 'PEP', 'PFE', 'PG', 'VZ']","['ADBE', 'AMZN', 'BRK-B', 'GOOGL', 'INTC', 'JPM', 'MA', 'MRK', 'NFLX', 'T', 'UNH', 'V', 'WMT', 'XOM']",untrained
38,"['AAPL', 'ADBE', 'AMZN', 'CSCO', 'DIS', 'GOOGL', 'JNJ', 'JPM', 'MA', 'MRK', 'PEP', 'PG', 'UNH', 'VZ']","['ABT', 'BAC', 'BRK-B', 'HD', 'INTC', 'KO', 'MSFT', 'NFLX', 'NVDA', 'PFE', 'T', 'V', 'WMT', 'XOM']",untrained
39,"['AAPL', 'ADBE', 'BAC', 'CSCO', 'HD', 'JPM', 'MA', 'NVDA', 'PEP', 'PFE', 'T', 'UNH', 'V', 'VZ']","['ABT', 'AMZN', 'BRK-B', 'DIS', 'GOOGL', 'INTC', 'JNJ', 'KO', 'MRK', 'MSFT', 'NFLX', 'PG', 'WMT', 'XOM']",untrained
40,"['ABT', 'BAC', 'CSCO', 'DIS', 'GOOGL', 'HD', 'INTC', 'JNJ', 'JPM', 'MSFT', 'PG', 'T', 'UNH', 'V']","['AAPL', 'ADBE', 'AMZN', 'BRK-B', 'KO', 'MA', 'MRK', 'NFLX', 'NVDA', 'PEP', 'PFE', 'VZ', 'WMT', 'XOM']",untrained
41,"['AAPL', 'ABT', 'CSCO', 'INTC', 'JPM', 'MSFT', 'NFLX', 'PEP', 'PFE', 'T', 'UNH', 'VZ', 'WMT', 'XOM']","['ADBE', 'AMZN', 'BAC', 'BRK-B', 'DIS', 'GOOGL', 'HD', 'JNJ', 'KO', 'MA', 'MRK', 'NVDA', 'PG', 'V']",untrained
42,"['ABT', 'AMZN', 'BAC', 'GOOGL', 'JNJ', 'JPM', 'KO', 'MA', 'NFLX', 'PEP', 'PFE', 'PG', 'VZ', 'XOM']","['AAPL', 'ADBE', 'BRK-B', 'CSCO', 'DIS', 'HD', 'INTC', 'MRK', 'MSFT', 'NVDA', 'T', 'UNH', 'V', 'WMT']",untrained
43,"['DIS', 'GOOGL', 'HD', 'INTC', 'KO', 'NFLX', 'NVDA', 'PEP', 'PFE', 'PG', 'T', 'V', 'WMT', 'XOM']","['AAPL', 'ABT', 'ADBE', 'AMZN', 'BAC', 'BRK-B', 'CSCO', 'JNJ', 'JPM', 'MA', 'MRK', 'MSFT', 'UNH', 'VZ']",untrained
44,"['ADBE', 'BRK-B', 'GOOGL', 'HD', 'INTC', 'JNJ', 'MA', 'MRK', 'MSFT', 'NVDA', 'PEP', 'PG', 'T', 'UNH']","['AAPL', 'ABT', 'AMZN', 'BAC', 'CSCO', 'DIS', 'JPM', 'KO', 'NFLX', 'PFE', 'V', 'VZ', 'WMT', 'XOM']",untrained
45,"['AAPL', 'BRK-B', 'GOOGL', 'INTC', 'MA', 'MRK', 'MSFT', 'NVDA', 'PEP', 'PFE', 'PG', 'T', 'UNH', 'VZ']","['ABT', 'ADBE', 'AMZN', 'BAC', 'CSCO', 'DIS', 'HD', 'JNJ', 'JPM', 'KO', 'NFLX', 'V', 'WMT', 'XOM']",untrained
46,"['AAPL', 'ABT', 'AMZN', 'GOOGL', 'HD', 'INTC', 'JNJ', 'MSFT', 'NVDA', 'PEP', 'PFE', 'PG', 'WMT', 'XOM']","['ADBE', 'BAC', 'BRK-B', 'CSCO', 'DIS', 'JPM', 'KO', 'MA', 'MRK', 'NFLX', 'T', 'UNH', 'V', 'VZ']",untrained
47,"['ABT', 'BRK-B', 'DIS', 'GOOGL', 'HD', 'INTC', 'JPM', 'MRK', 'MSFT', 'NVDA', 'T', 'V', 'VZ', 'XOM']","['AAPL', 'ADBE', 'AMZN', 'BAC', 'CSCO', 'JNJ', 'KO', 'MA', 'NFLX', 'PEP', 'PFE', 'PG', 'UNH', 'WMT']",untrained
48,"['AAPL', 'AMZN', 'BRK-B', 'CSCO', 'GOOGL', 'INTC', 'JNJ', 'JPM', 'KO', 'NFLX', 'NVDA', 'PFE', 'PG', 'UNH']","['ABT', 'ADBE', 'BAC', 'DIS', 'HD', 'MA', 'MRK', 'MSFT', 'PEP', 'T', 'V', 'VZ', 'WMT', 'XOM']",untrained
49,"['ABT', 'AMZN', 'BAC', 'BRK-B', 'CSCO', 'DIS', 'JPM', 'KO', 'MRK', 'MSFT', 'NVDA', 'PEP', 'WMT', 'XOM']","['AAPL', 'ADBE', 'GOOGL', 'HD', 'INTC', 'JNJ', 'MA', 'NFLX', 'PFE', 'PG', 'T', 'UNH', 'V', 'VZ']",untrained
50,"['ADBE', 'AMZN', 'BAC', 'JNJ', 'JPM', 'NFLX', 'NVDA', 'PEP', 'PFE', 'T', 'UNH', 'V', 'WMT', 'XOM']","['AAPL', 'ABT', 'BRK-B', 'CSCO', 'DIS', 'GOOGL', 'HD', 'INTC', 'KO', 'MA', 'MRK', 'MSFT', 'PG', 'VZ']",untrained
51,"['ADBE', 'AMZN', 'BRK-B', 'GOOGL', 'JPM', 'KO', 'MA', 'MRK', 'MSFT', 'NVDA', 'PEP', 'T', 'V', 'VZ']","['AAPL', 'ABT', 'BAC', 'CSCO', 'DIS', 'HD', 'INTC', 'JNJ', 'NFLX', 'PFE', 'PG', 'UNH', 'WMT', 'XOM']",untrained
52,"['AAPL', 'ABT', 'ADBE', 'INTC', 'JNJ', 'KO', 'MA', 'MRK', 'MSFT', 'NFLX', 'PEP', 'PG', 'WMT', 'XOM']","['AMZN', 'BAC', 'BRK-B', 'CSCO', 'DIS', 'GOOGL', 'HD', 'JPM', 'NVDA', 'PFE', 'T', 'UNH', 'V', 'VZ']",untrained
53,"['AAPL', 'BAC', 'BRK-B', 'CSCO', 'DIS', 'HD', 'JNJ', 'MRK', 'MSFT', 'PFE', 'UNH', 'V', 'VZ', 'WMT']","['ABT', 'ADBE', 'AMZN', 'GOOGL', 'INTC', 'JPM', 'KO', 'MA', 'NFLX', 'NVDA', 'PEP', 'PG', 'T', 'XOM']",untrained
54,"['ADBE', 'BAC', 'DIS', 'HD', 'JNJ', 'JPM', 'MA', 'NVDA', 'PG', 'UNH', 'V', 'VZ', 'WMT', 'XOM']","['AAPL', 'ABT', 'AMZN', 'BRK-B', 'CSCO', 'GOOGL', 'INTC', 'KO', 'MRK', 'MSFT', 'NFLX', 'PEP', 'PFE', 'T']",untrained
55,"['AAPL', 'ABT', 'BAC', 'BRK-B', 'JNJ', 'JPM', 'KO', 'MA', 'MSFT', 'PEP', 'PG', 'UNH', 'VZ', 'WMT']","['ADBE', 'AMZN', 'CSCO', 'DIS', 'GOOGL', 'HD', 'INTC', 'MRK', 'NFLX', 'NVDA', 'PFE', 'T', 'V', 'XOM']",untrained
56,"['ABT', 'BRK-B', 'DIS', 'GOOGL', 'HD', 'JPM', 'KO', 'MA', 'MSFT', 'PEP', 'UNH', 'VZ', 'WMT', 'XOM']","['AAPL', 'ADBE', 'AMZN', 'BAC', 'CSCO', 'INTC', 'JNJ', 'MRK', 'NFLX', 'NVDA', 'PFE', 'PG', 'T', 'V']",untrained
57,"['AAPL', 'ABT', 'ADBE', 'BAC', 'BRK-B', 'DIS', 'HD', 'INTC', 'JPM', 'KO', 'PFE', 'PG', 'T', 'VZ']","['AMZN', 'CSCO', 'GOOGL', 'JNJ', 'MA', 'MRK', 'MSFT', 'NFLX', 'NVDA', 'PEP', 'UNH', 'V', 'WMT', 'XOM']",untrained
58,"['AAPL', 'ABT', 'BAC', 'BRK-B', 'CSCO', 'GOOGL', 'MA', 'MSFT', 'NVDA', 'PFE', 'PG', 'T', 'UNH', 'VZ']","['ADBE', 'AMZN', 'DIS', 'HD', 'INTC', 'JNJ', 'JPM', 'KO', 'MRK', 'NFLX', 'PEP', 'V', 'WMT', 'XOM']",untrained
59,"['AAPL', 'AMZN', 'BAC', 'GOOGL', 'JPM', 'KO', 'MA', 'MRK', 'MSFT', 'NFLX', 'PEP', 'PG', 'T', 'WMT']","['ABT', 'ADBE', 'BRK-B', 'CSCO', 'DIS', 'HD', 'INTC', 'JNJ', 'NVDA', 'PFE', 'UNH', 'V', 'VZ', 'XOM']",untrained
60,"['AMZN', 'BAC', 'CSCO', 'HD', 'JNJ', 'MA', 'MRK', 'NFLX', 'NVDA', 'PEP', 'PFE', 'UNH', 'V', 'XOM']","['AAPL', 'ABT', 'ADBE', 'BRK-B', 'DIS', 'GOOGL', 'INTC', 'JPM', 'KO', 'MSFT', 'PG', 'T', 'VZ', 'WMT']",untrained
61,"['ADBE', 'AMZN', 'BAC', 'BRK-B', 'CSCO', 'GOOGL', 'INTC', 'KO', 'MA', 'MRK', 'MSFT', 'PFE', 'T', 'V']","['AAPL', 'ABT', 'DIS', 'HD', 'JNJ', 'JPM', 'NFLX', 'NVDA', 'PEP', 'PG', 'UNH', 'VZ', 'WMT', 'XOM']",untrained
62,"['AAPL', 'ADBE', 'AMZN', 'BAC', 'BRK-B', 'CSCO', 'GOOGL', 'HD', 'JPM', 'MA', 'MSFT', 'PFE', 'UNH', 'VZ']","['ABT', 'DIS', 'INTC', 'JNJ', 'KO', 'MRK', 'NFLX', 'NVDA', 'PEP', 'PG', 'T', 'V', 'WMT', 'XOM']",untrained
63,"['ABT', 'ADBE', 'BAC', 'BRK-B', 'DIS', 'INTC', 'MA', 'MSFT', 'PEP', 'PFE', 'PG', 'T', 'UNH', 'VZ']","['AAPL', 'AMZN', 'CSCO', 'GOOGL', 'HD', 'JNJ', 'JPM', 'KO', 'MRK', 'NFLX', 'NVDA', 'V', 'WMT', 'XOM']",untrained
64,"['AMZN', 'BAC', 'BRK-B', 'DIS', 'JNJ', 'KO', 'MA', 'NFLX', 'PEP', 'PG', 'UNH', 'V', 'VZ', 'XOM']","['AAPL', 'ABT', 'ADBE', 'CSCO', 'GOOGL', 'HD', 'INTC', 'JPM', 'MRK', 'MSFT', 'NVDA', 'PFE', 'T', 'WMT']",untrained
65,"['ADBE', 'AMZN', 'BRK-B', 'DIS', 'GOOGL', 'HD', 'JPM', 'NFLX', 'PEP', 'PFE', 'PG', 'V', 'WMT', 'XOM']","['AAPL', 'ABT', 'BAC', 'CSCO', 'INTC', 'JNJ', 'KO', 'MA', 'MRK', 'MSFT', 'NVDA', 'T', 'UNH', 'VZ']",untrained
66,"['ADBE', 'AMZN', 'BAC', 'CSCO', 'DIS', 'JPM', 'KO', 'PEP', 'PFE', 'PG', 'T', 'UNH', 'VZ', 'XOM']","['AAPL', 'ABT', 'BRK-B', 'GOOGL', 'HD', 'INTC', 'JNJ', 'MA', 'MRK', 'MSFT', 'NFLX', 'NVDA', 'V', 'WMT']",untrained
67,"['AAPL', 'ABT', 'ADBE', 'BAC', 'BRK-B', 'JPM', 'MRK', 'NVDA', 'PEP', 'PFE', 'T', 'V', 'WMT', 'XOM']","['AMZN', 'CSCO', 'DIS', 'GOOGL', 'HD', 'INTC', 'JNJ', 'KO', 'MA', 'MSFT', 'NFLX', 'PG', 'UNH', 'VZ']",untrained
68,"['ABT', 'ADBE', 'BRK-B', 'CSCO', 'GOOGL', 'INTC', 'JNJ', 'KO', 'MRK', 'MSFT', 'NFLX', 'NVDA', 'PFE', 'T']","['AAPL', 'AMZN', 'BAC', 'DIS', 'HD', 'JPM', 'MA', 'PEP', 'PG', 'UNH', 'V', 'VZ', 'WMT', 'XOM']",untrained
69,"['AAPL', 'BAC', 'BRK-B', 'CSCO', 'INTC', 'JPM', 'KO', 'MA', 'NFLX', 'PFE', 'T', 'VZ', 'WMT', 'XOM']","['ABT', 'ADBE', 'AMZN', 'DIS', 'GOOGL', 'HD', 'JNJ', 'MRK', 'MSFT', 'NVDA', 'PEP', 'PG', 'UNH', 'V']",untrained
70,"['AAPL', 'AMZN', 'BAC', 'BRK-B', 'CSCO', 'GOOGL', 'HD', 'JNJ', 'JPM', 'MA', 'NFLX', 'NVDA', 'WMT', 'XOM']","['ABT', 'ADBE', 'DIS', 'INTC', 'KO', 'MRK', 'MSFT', 'PEP', 'PFE', 'PG', 'T', 'UNH', 'V', 'VZ']",untrained
71,"['BAC', 'DIS', 'GOOGL', 'JNJ', 'MA', 'MRK', 'PEP', 'PFE', 'PG', 'T', 'UNH', 'V', 'VZ', 'XOM']","['AAPL', 'ABT', 'ADBE', 'AMZN', 'BRK-B', 'CSCO', 'HD', 'INTC', 'JPM', 'KO', 'MSFT', 'NFLX', 'NVDA', 'WMT']",untrained
72,"['ABT', 'ADBE', 'AMZN', 'CSCO', 'GOOGL', 'HD', 'JPM', 'MA', 'NVDA', 'PG', 'UNH', 'V', 'VZ', 'XOM']","['AAPL', 'BAC', 'BRK-B', 'DIS', 'INTC', 'JNJ', 'KO', 'MRK', 'MSFT', 'NFLX', 'PEP', 'PFE', 'T', 'WMT']",untrained
73,"['ABT', 'ADBE', 'CSCO', 'DIS', 'GOOGL', 'INTC', 'MRK', 'MSFT', 'NVDA', 'PG', 'T', 'V', 'VZ', 'XOM']","['AAPL', 'AMZN', 'BAC', 'BRK-B', 'HD', 'JNJ', 'JPM', 'KO', 'MA', 'NFLX', 'PEP', 'PFE', 'UNH', 'WMT']",untrained
74,"['AAPL', 'ABT', 'AMZN', 'BRK-B', 'HD', 'INTC', 'JPM', 'MA', 'NFLX', 'T', 'V', 'VZ', 'WMT', 'XOM']","['ADBE', 'BAC', 'CSCO', 'DIS', 'GOOGL', 'JNJ', 'KO', 'MRK', 'MSFT', 'NVDA', 'PEP', 'PFE', 'PG', 'UNH']",untrained
75,"['ADBE', 'CSCO', 'DIS', 'GOOGL', 'INTC', 'JNJ', 'JPM', 'NFLX', 'PEP', 'PFE', 'PG', 'V', 'VZ', 'WMT']","['AAPL', 'ABT', 'AMZN', 'BAC', 'BRK-B', 'HD', 'KO', 'MA', 'MRK', 'MSFT', 'NVDA', 'T', 'UNH', 'XOM']",untrained
76,"['ABT', 'AMZN', 'BRK-B', 'DIS', 'JNJ', 'JPM', 'MA', 'NFLX', 'PEP', 'PFE', 'PG', 'T', 'VZ', 'XOM']","['AAPL', 'ADBE', 'BAC', 'CSCO', 'GOOGL', 'HD', 'INTC', 'KO', 'MRK', 'MSFT', 'NVDA', 'UNH', 'V', 'WMT']",untrained
77,"['AAPL', 'ADBE', 'AMZN', 'BAC', 'HD', 'INTC', 'JPM', 'MA', 'MRK', 'MSFT', 'NVDA', 'PEP', 'PG', 'XOM']","['ABT', 'BRK-B', 'CSCO', 'DIS', 'GOOGL', 'JNJ', 'KO', 'NFLX', 'PFE', 'T', 'UNH', 'V', 'VZ', 'WMT']",untrained
